,Grade,5km_Time_Trial,Pace_per_km_5km,10km_Time_Trial,Pace_per_km_10km_Half_Marathon,Expected_Half_Marathon_Time,Pace_per_km_Half,Expected_Full_Marathon_Time,Pace_per_km_Full
0,1級,15分 25秒,3分 05秒,32分 00秒,3分 12秒,1時間 11分 15秒,3分 22秒,2時間 31分 15秒,3分 35秒
1,2級,15分 35秒,3分 07秒,32分 20秒,3分 14秒,1時間 11分 45秒,3分 24秒,2時間 33分 30秒,3分 38秒
2,3級,15分 45秒,3分 09秒,32分 40秒,3分 16秒,1時間 13分 00秒,3分 27秒,2時間 36分 15秒,3分42秒
3,4級,15分 55秒,3分 11秒,33分 10秒,3分 19秒,1時間 14分 00秒,3分 30秒,2時間 39分 00秒,3分46秒
4,5級,16分 05秒,3分 13秒,33分 30秒,3分 21秒,1時間 15分 00秒,3分 33秒,2時間 41分 45秒,3分 50秒
5,6級,16分 15秒,3分 15秒,33分 50秒,3分 23秒,1時間 15分 45秒,3分 35秒,2時間 44分 00秒,3分 53秒
6,7級,16分 25秒,3分 17秒,34分 20秒,3分 26秒,1時間 17分 00秒,3分 39秒,2時間 47分 30秒,3分 58秒
7,8級,16分 35秒,3分 19秒,34分 40秒,3分 28秒,1時間 17分 45秒,3分41秒,2時間 49分 30秒,4分 01秒
8,9級,16分 45分,3分 21秒,35分 00秒,3分 30秒,1時間 18分 30秒,3分43秒,2時間 51分 45秒,4分 04秒
9,10級,17分 00秒,3分 24秒,35分 40秒,3分 34秒,1時間 20分 15秒,3分48秒,2時間 56分 00秒,4分 10秒
10,11級,17分 15秒,3分 27秒,36分 10秒,3分 37秒,1時間 21分 45秒,3分 52秒,2時間 59分 30秒,4分 15秒
11,12級,17分 30秒,3分 30秒,36分 40秒,3分40秒,1時間 22分 45秒,3分 55秒,3時間 02分 15秒,4分 19秒
12,13級,17分 45秒,3分 33秒,37分 10秒,3分43分,1時間 24分 15秒,3分 59秒,3時間 05分 45秒,4分 24秒
13,14級,18分 00秒,3分 36秒,37分 50秒,3分47秒,1時間 25分 30秒,4分 03秒,3時間 09分 15秒,4分 29秒
14,15級,18分 15秒,3分 39秒,38分 20秒,3分 50秒,1時間 27分 00秒,4分 07秒,3時間 12分 45秒,4分 34秒
15,16級,18分 30秒,3分42秒,39分 00秒,3分 54秒,1時間 28分 15秒,4分 11秒,3時間 16分 15秒,4分 39秒
16,17級,18分 45秒,3分45秒,39分 30秒,3分 57秒,1時間 29分 45秒,4分 15秒,3時間 19分 45秒,4分44秒
17,18級,19分 00秒,3分48秒,40分 00秒,4分 00秒,1時間 30分 45秒,4分 18秒,3時間 22分 00秒,4分47秒
18,19級,19分 15秒,3分 51秒,40分 40秒,4分 04秒,1時間 32分 30秒,4分 23秒,3時間 26分 15秒,4分 53秒
19,20級,19分 35秒,3分 55秒,41分 20秒,4分 08秒,1時間 34分 00秒,4分 27秒,3時間 29分 00秒,4分 57秒
20,21級,19分 55秒,3分 59秒,42分 00秒,4分 12秒,1時間 35分 45秒,4分 32秒,3時間 33分 15秒,5分 03秒
21,22級,20分 15秒,4分 03秒,42分 50秒,4分 17秒,1時間 37分 30秒,4分 37秒,3時間 36分 45秒,5分 08秒
22,23級,20分 35秒,4分 07秒,43分 30秒,4分 21秒,1時間 39分 15秒,4分42秒,3時間 41分 00秒,5分 14秒
23,24級,20分 55分,4分 11秒,44分 10秒,4分 25秒,1時間 40分 45秒,4分46秒,3時間 43分 45秒,5分 18秒
24,25級,21分 15秒,4分 15秒,45分 00秒,4分 30秒,1時間 42分 45秒,4分 52秒,3時間 48分 45秒,5分 25秒
25,26級,21分 35秒,4分 19秒,45分 40秒,4分 34秒,1時間 44分 15秒,4分 56秒,3時間 51分 30秒,5分 29秒
26,27級,21分 55秒,4分 23秒,46分 20秒,4分 38秒,1時間 46分 00秒,5分 01秒,3時間 55分 45秒,5分 35秒
27,28級,22分 15秒,4分 27秒,47分 10秒,4分43秒,1時間 47分 45秒,5分 06秒,3時間 59分 15秒,5分40秒
28,29級,22分 35秒,4分 31秒,47分 50秒,4分47秒,1時間 49分 00秒,5分 10秒,4時間 02分 45秒,5分45秒
29,30級,23分 00秒,4分 36秒,48分 40秒,4分 52秒,1時間 51分 15秒,5分 16秒,4時間 07分 00秒,5分 51秒
30,31級,23分 25秒,4分41秒,49分 40秒,4分 58秒,1時間 53分 15秒,5分 22秒,4時間 12分 00秒,5分 58秒
