,Grade,5km_Time_Trial,10km_Time_Trial,Expected_Half_Marathon_Time,Expected_Full_Marathon_Time
0,1,925,1920,4275,9075
1,2,935,1940,4305,9210
2,3,945,1960,4380,9375
3,4,955,1990,4440,9540
4,5,965,2010,4500,9705
5,6,975,2030,4545,9840
6,7,985,2060,4620,10050
7,8,995,2080,4665,10170
8,9,1005,2100,4710,10305
9,10,1020,2140,4815,10560
10,11,1035,2170,4905,10770
11,12,1050,2200,4965,10935
12,13,1065,2230,5055,11145
13,14,1080,2270,5130,11355
14,15,1095,2300,5220,11565
15,16,1110,2340,5295,11775
16,17,1125,2370,5385,11985
17,18,1140,2400,5445,12120
18,19,1155,2440,5550,12375
19,20,1175,2480,5640,12540
20,21,1195,2520,5745,12795
21,22,1215,2570,5850,13005
22,23,1235,2610,5955,13260
23,24,1255,2650,6045,13425
24,25,1275,2700,6165,13725
25,26,1295,2740,6255,13890
26,27,1315,2780,6360,14145
27,28,1335,2830,6465,14355
28,29,1355,2870,6540,14565
29,30,1380,2920,6675,14820
30,31,1405,2980,6795,15120
31,32,1430,3030,6900,15330
32,33,1455,3080,7035,15615
33,34,1480,3140,7155,15870
34,35,1505,3190,7260,16125
35,36,1530,3240,7395,16380
36,37,1555,3300,7515,16680
37,38,1580,3355,7620,16890
38,39,1605,3400,7755,17175
39,40,1630,3460,7875,17430
0,41,1655,3510,7980,17685
1,42,1685,3570,8130,17985
2,43,1715,3640,8280,18315
3,44,1745,3700,8400,18570
4,45,1775,3760,8550,18915
5,46,1805,3830,8700,19200
6,47,1835,3890,8820,19500
7,48,1865,3950,8970,19800
8,49,1895,4020,9120,20175
9,50,1925,4080,9240,20385
10,51,1955,4140,9390,20730
11,52,1985,4200,9525,20970
12,53,2015,4270,9675,21315
13,54,2045,4330,9810,21615
14,55,2075,4390,9945,21900
15,56,2105,4450,10065,21615
16,57,2140,4530,10260,22155
17,58,2175,4600,10410,22575
18,59,2210,4670,10560,22875
19,60,2245,4740,10725,23220
20,61,2280,4820,10890,23550
21,62,2315,4890,11040,23925
22,63,2350,4960,11205,24225
23,64,2385,5030,11355,24600
24,65,2420,5110,11520,24900
25,66,2455,5180,11700,25275
26,67,2490,5250,11835,25620
27,68,2525,5320,11985,25950
28,69,2560,5400,12180,26250
29,70,2595,5470,12330,26670
30,71,2630,5540,12480,26970
31,72,2665,5610,12705,27300
32,73,2700,5690,12810,28020
33,74,2740,5770,12975,28365
34,75,2780,5850,13170,28785
35,76,2820,5930,13335,29115
36,77,2860,6020,13530,29550
37,78,2900,6100,13725,29925
38,79,2940,6180,13890,30300
39,80,2980,6260,14055,30645
